"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","MeilleuresPistes"
"France Gall - Débranche.mp4","Débranche","France Gall","52","/karaoke/France%20Gall%20-%20D%C3%A9branche.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"France Gall - Il jouait du piano debout.mp4","Il jouait du piano debout","France Gall","55","/karaoke/France%20Gall%20-%20Il%20jouait%20du%20piano%20debout.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"France Gall - La déclaration d'amour.mp4","La Déclaration d'amour","France Gall","49","/karaoke/France%20Gall%20-%20La%20d%C3%A9claration%20d'amour.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"France Gall - Musique.mp4","Musique","France Gall","54","/karaoke/France%20Gall%20-%20Musique.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"France Gall - Résiste.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"France Gall - Viens je t'emmène.mp4","Viens, je t'emmène","France Gall","53","/karaoke/France%20Gall%20-%20Viens%20je%20t'emm%C3%A8ne.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Francis Cabrel - La dame de Haute-Savoie.mp4","La dame de haute savoie","Francis Cabrel","61","/karaoke/Francis%20Cabrel%20-%20La%20dame%20de%20Haute-Savoie.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Frank Sinatra - Everybody Loves Somebody.mp4","Everybody loves somebody","Frank Sinatra","46","/karaoke/Frank%20Sinatra%20-%20Everybody%20Loves%20Somebody.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Frank Sinatra - New York, New York.mp4","New York, New York","Frank Sinatra","47","/karaoke/Frank%20Sinatra%20-%20New%20York%2C%20New%20York.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Françoise Hardy - Comment te dire adieu.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Françoise Hardy - Fais-moi une place.mp4","Fais-moi une place","Françoise Hardy","62","/karaoke/Fran%C3%A7oise%20Hardy%20-%20Fais-moi%20une%20place.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Gilbert Montagné - Les sunlights des tropiques.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Henri Salvador - Jardin d'hiver.mp4","Jardin d'hiver","Henri Salvador","70","/karaoke/Henri%20Salvador%20-%20Jardin%20d'hiver.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Indochine - J'ai demandé à la lune.mp4","J'ai demandé à la lune","Indochine","72","/karaoke/Indochine%20-%20J'ai%20demand%C3%A9%20%C3%A0%20la%20lune.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Indochine - L'aventurier.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Irene Cara - Flashdance What a Feeling.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Isabelle Boulay - Dis, quand reviendras-tu.mp4","Dis quand reviendras tu","Barbara","13","/karaoke/Isabelle%20Boulay%20-%20Dis%2C%20quand%20reviendras-tu.mp4",,"90","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Isabelle Boulay - Il suffirait de presque rien.mp4","Il suffirait de presque rien","Isabelle Boulay","74","/karaoke/Isabelle%20Boulay%20-%20Il%20suffirait%20de%20presque%20rien.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Jackie Quartz - Mise au point.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
