"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","MeilleuresPistes"
"","Les moulins de mon coeur","Michel Legrand","106","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","La poupée qui fait non","Michel Polnareff","107","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Place des grands hommes","Patrick Bruel","110","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Je t'aime","Patrick Bruel","111","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Je n'ai que mon âme","Natasha St Pier","113","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Le sud","Nino Ferrer","114","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Mon mec à moi","Patricia Kaas","115","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Quand jimmy dit","Patricia Kaas","117","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Elle voulait jouer cabaret","Patricia Kaas","118","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Mademoiselle chante le blues","Patricia Kaas","119","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","I'll stand by you","Pretenders","122","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Love of my life","Queen","123","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Coup de soleil","Richard Cocciante","126","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Sara perche ti amo","Ricchi e Poveri","128","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Hélène","Roch Voisine","129","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Love is all","Roger Glover","131","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","La javanaise","Serge Gainsbourg","133","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Ziggy","Starmania","134","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","I just call","Stevie Wonder","136","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Faut qu'tu m'aimes","Styleto","138","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Un jour ..new york","Telephone","139","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Ça c'est vraiment toi","Telephone","140","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","I’ll stand by you","The Pretenders","141","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Drole de vie","Veronique Sanson","143","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","Ma révérence","Veronique Sanson","144","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
"","J'envoie valser","Zazie","147","",,"","CATALOGUE SANS FICHIER LOCAL","A VERIFIER",""
