"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Correspondance","Action"
"Clara Luciani - Bravo tu as gagné.mp4","Bravo tu as gagné","Clara Luciani","24","/karaoke/Clara%20Luciani%20-%20Bravo%20tu%20as%20gagn%C3%A9.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Clara Luciani - La grenade.mp4","La grenade","Clara Luciani","27","/karaoke/Clara%20Luciani%20-%20La%20grenade.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Clara Luciani - Tout pour moi.mp4","Tout pour moi","Clara Luciani","25","/karaoke/Clara%20Luciani%20-%20Tout%20pour%20moi.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Claude François - Comme d'habitude.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Céline Dion - D'amour ou d'amitié.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Céline Dion - Encore un soir.mp4","Encore un soir","Céline Dion","20","/karaoke/C%C3%A9line%20Dion%20-%20Encore%20un%20soir.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Céline Dion - My Heart Will Go On.mp4","My heart will go on","Céline Dion","21","/karaoke/C%C3%A9line%20Dion%20-%20My%20Heart%20Will%20Go%20On.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Céline Dion - Pour que tu m'aimes encore.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Céline Dion - Prière païenne.mp4","Prière paienne","Céline Dion","23","/karaoke/C%C3%A9line%20Dion%20-%20Pri%C3%A8re%20pa%C3%AFenne.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Céline Dion - S'il suffisait d'aimer.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Daniel Guichard - Mon vieux.mp4","Mon vieux","Daniel Guichard","34","/karaoke/Daniel%20Guichard%20-%20Mon%20vieux.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Diane Tell - Si j'étais un homme.mp4","Si j'étais un homme","Diane Tell","38","/karaoke/Diane%20Tell%20-%20Si%20j'%C3%A9tais%20un%20homme.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Eddy Mitchell - Couleur menthe à l'eau.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Eddy Mitchell - La dernière séance.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Ella Fitzgerald - Someone to Watch Over Me.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Elton John - Your Song.mp4","Your song","Elton John","43","/karaoke/Elton%20John%20-%20Your%20Song.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Eurythmics - Sweet Dreams .mp4","Sweet dreams","Eurythmics","44","/karaoke/Eurythmics%20-%20Sweet%20Dreams%20.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Eurythmics - Sweet Dreams.mp4","Sweet dreams","Eurythmics","44","/karaoke/Eurythmics%20-%20Sweet%20Dreams.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"faut que tu maimes.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"France Gall - Diego.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"France Gall - Débranche.mp4","Débranche","France Gall","52","/karaoke/France%20Gall%20-%20D%C3%A9branche.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"France Gall - Il jouait du piano debout.mp4","Il jouait du piano debout","France Gall","55","/karaoke/France%20Gall%20-%20Il%20jouait%20du%20piano%20debout.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"France Gall - La déclaration d'amour.mp4","La Déclaration d'amour","France Gall","49","/karaoke/France%20Gall%20-%20La%20d%C3%A9claration%20d'amour.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"France Gall - Musique (version 2).mp4","Musique","France Gall","54","/karaoke/France%20Gall%20-%20Musique%20(version%202).mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"France Gall - Musique.mp4","Musique","France Gall","54","/karaoke/France%20Gall%20-%20Musique.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"France Gall - Résiste.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"France Gall - Viens je t'emmène.mp4","Viens, je t'emmène","France Gall","53","/karaoke/France%20Gall%20-%20Viens%20je%20t'emm%C3%A8ne.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Francis Cabrel - La dame de Haute-Savoie.mp4","La dame de haute savoie","Francis Cabrel","61","/karaoke/Francis%20Cabrel%20-%20La%20dame%20de%20Haute-Savoie.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Frank Sinatra - Everybody Loves Somebody.mp4","Everybody loves somebody","Frank Sinatra","46","/karaoke/Frank%20Sinatra%20-%20Everybody%20Loves%20Somebody.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Frank Sinatra - New York, New York.mp4","New York, New York","Frank Sinatra","47","/karaoke/Frank%20Sinatra%20-%20New%20York%2C%20New%20York.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Françoise Hardy - Comment te dire adieu.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Françoise Hardy - Fais-moi une place.mp4","Fais-moi une place","Françoise Hardy","62","/karaoke/Fran%C3%A7oise%20Hardy%20-%20Fais-moi%20une%20place.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Gilbert Montagné - Les sunlights des tropiques.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Henri Salvador - Jardin d'hiver.mp4","Jardin d'hiver","Henri Salvador","70","/karaoke/Henri%20Salvador%20-%20Jardin%20d'hiver.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Indochine - J'ai demandé à la lune.mp4","J'ai demandé à la lune","Indochine","72","/karaoke/Indochine%20-%20J'ai%20demand%C3%A9%20%C3%A0%20la%20lune.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Indochine - L'aventurier.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Irene Cara - Flashdance What a Feeling.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Isabelle Boulay - Dis, quand reviendras-tu.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Isabelle Boulay - Il suffirait de presque rien.mp4","Il suffirait de presque rien","Isabelle Boulay","74","/karaoke/Isabelle%20Boulay%20-%20Il%20suffirait%20de%20presque%20rien.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Jackie Quartz - Mise au point.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Jacques Brel & Céline Dion - Quand on n'a que l'amour.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Jane Birkin - Di doo dah.mp4","Di doo dah","Jane Birkin","75","/karaoke/Jane%20Birkin%20-%20Di%20doo%20dah.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Jean-Jacques Goldman - Encore un matin.mp4","Encore un matin","Jean-Jacques Goldman","78","/karaoke/Jean-Jacques%20Goldman%20-%20Encore%20un%20matin.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Jean-Jacques Goldman - Envole-moi.mp4","Envole moi","Jean-Jacques Goldman","77","/karaoke/Jean-Jacques%20Goldman%20-%20Envole-moi.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Jean-Jacques Goldman - Quand la musique est bonne.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Jeanne Mas - Toute première fois.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Joe Dassin - Et si tu n'existais pas.mp4","Et si tu n'existais pas","Joe Dassin","80","/karaoke/Joe%20Dassin%20-%20Et%20si%20tu%20n'existais%20pas.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Johnny Hallyday & Amel Bent - Je te promets.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Johnny Hallyday - J'ai oublié de vivre.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"johnny Hallyday - Laura.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Juliette Armanet - Le dernier jour du disco.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Keane - Somewhere Only We Know.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Kyo - Une dernière danse.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Lady Gaga - Always Remember Us This Way.mp4","Always remember us this way","Lady Gaga","84","/karaoke/Lady%20Gaga%20-%20Always%20Remember%20Us%20This%20Way.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Lara Fabian - Je suis malade.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Lara Fabian - Je t'aime.mp4","Je t'aime","Lara Fabian","85","/karaoke/Lara%20Fabian%20-%20Je%20t'aime.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Lilicub - Voyage en Italie.mp4","Voyage en italie","Lilicub","91","/karaoke/Lilicub%20-%20Voyage%20en%20Italie.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Lionel Richie - Hello.mp4","Hello","Lionel Richie","92","/karaoke/Lionel%20Richie%20-%20Hello.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Louane - Si t'étais là.mp4","Si t'étais là","Louane","93","/karaoke/Louane%20-%20Si%20t'%C3%A9tais%20l%C3%A0.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Louis Armstrong - What a Wonderful World.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Manu Pilas - Bella Ciao.mp4","Bella Ciao","Manu Pilas","97","/karaoke/Manu%20Pilas%20-%20Bella%20Ciao.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Marguerite - Les filles, les meufs.mp4","Les filles les meufs","Marguerite","100","/karaoke/Marguerite%20-%20Les%20filles%2C%20les%20meufs.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Marine - Cœur maladroit.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Marine - Une fille ordinaire.mp4","Une fille ordinaire","Marine","99","/karaoke/Marine%20-%20Une%20fille%20ordinaire.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Maurane - Sur un prélude de Bach.mp4","Sur un prélude de bach","Maurane","101","/karaoke/Maurane%20-%20Sur%20un%20pr%C3%A9lude%20de%20Bach.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Mentissa - Et bam.mp4","Et bam","Mentissa","103","/karaoke/Mentissa%20-%20Et%20bam.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Michel Berger - Quelques mots d'amour.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Michel Delpech - Le chasseur.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Michel Delpech - Quand j'étais chanteur.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Michel Fugain - Chante comme si tu devais mourir demain.mp4","Chante comme si tu devais mourir demain","Michel Fugain","108","/karaoke/Michel%20Fugain%20-%20Chante%20comme%20si%20tu%20devais%20mourir%20demain.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Michel Fugain - Une belle histoire.mp4","Une belle histoire","Michel Fugain","104","/karaoke/Michel%20Fugain%20-%20Une%20belle%20histoire.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Miley Cyrus - Flowers.mp4","Flowers","Miley Cyrus","109","/karaoke/Miley%20Cyrus%20-%20Flowers.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Natalie Imbruglia - Torn.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Nicolas Peyrac - Je pars.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Nicole Kidman - One Day I'll Fly Away.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Patricia Kaas - Il me dit que je suis belle.mp4","Il me dit que je suis belle","Patricia Kaas","116","/karaoke/Patricia%20Kaas%20-%20Il%20me%20dit%20que%20je%20suis%20belle.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Queen - The Show Must Go On.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Radiohead - Creep.mp4","Creep","Radiohead","124","/karaoke/Radiohead%20-%20Creep.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Renaud - Mistral gagnant.mp4","Mistral gagnant","Renaud","125","/karaoke/Renaud%20-%20Mistral%20gagnant.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Ritchie Valens - La Bamba.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Santa - Popcorn salé.mp4","Popcorn salé","Santa","132","/karaoke/Santa%20-%20Popcorn%20sal%C3%A9.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Serge Gainsbourg - Elisa.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Serge Gainsbourg - Je suis venu te dire que je m'en vais.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Starmania - La complainte de la serveuse automate.mp4","La complainte de la serveuse automate","Starmania","135","/karaoke/Starmania%20-%20La%20complainte%20de%20la%20serveuse%20automate.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Starmania - Un garçon pas comme les autres.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"The Cranberries - Zombie.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"The Fugees - Killing Me Softly.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"The Police - Every Breath You Take.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"The Pretenders - I'll Stand By You.mp4","I’ll stand by you","The Pretenders","141","/karaoke/The%20Pretenders%20-%20I'll%20Stand%20By%20You.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"The Rolling Stones - Angie.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Viktor Lazlo - Pleurer des rivières.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Véronique Sanson & Vianney - Chanson sur ma drôle de vie.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Zaho de Sagazan - La symphonie des éclairs.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Édith Piaf - L'hymne à l'amour.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"Édith Piaf - La Vie en rose.mp4","La vie en rose","Edith Piaf","39","/karaoke/%C3%89dith%20Piaf%20-%20La%20Vie%20en%20rose.mp4",,"EXACT artiste - titre","A VERIFIER PUIS ECRIRE"
"Édith Piaf - Non, je ne regrette rien.mp4","","","","","","AUCUNE CORRESPONDANCE","NE PAS ECRIRE"
"","Eteins la lumière","Axel Bauer","9","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Ma plus belle histoire d'amour c'est vous","Barbara","14","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Woman in love","Barbra Streisand","15","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","It's heartache","Bonnie Tyler","18","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Quand on n'a que l'amour","Jacques Brel","19","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","D'amour et d'amitié","Céline Dion","22","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Le jerk","Thierry Azard","142","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Le reste","Clara Luciani","26","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Amour toujours","Clara Luciani","28","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Zombie","Cranberries","30","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Mourir sur scene","Dalida","32","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Laisser moi danser","Dalida","33","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
